chapter,title,env,source_type,source_path,image_count
chapter1,定义1.7幺半群的同构,definition,md,近世代数/近世代数/无标题/定义1 7幺半群的同构 1cbd2efa3f4280e49eafe83547a86380.md,1
chapter1,定义1.8幺半群的逆元,definition,md,近世代数/近世代数/无标题/定义1 8幺半群的逆元 1cbd2efa3f4280ab8ab0c76329b68410.md,1
chapter1,定义1.9幺半群加逆元就是群,definition,md,近世代数/近世代数/无标题/定义1 9幺半群加逆元就是群 1cbd2efa3f4280789737e0626b159cd6.md,1
chapter1,定义． 陪集个数为指数,definition,md,近世代数/近世代数/无标题/定义． 陪集个数为指数 1c3d2efa3f4280d4ae10d01394813e30.md,2
chapter1,定理1 左右陪集个数相等，有限还相等或都是无限,theorem,md,近世代数/近世代数/无标题/定理1 左右陪集个数相等，有限还相等或都是无限 1c3d2efa3f4280489fb7c3b3a78e65b1.md,2
chapter1,定理1不变子群的判定,theorem,md,近世代数/近世代数/无标题/定理1不变子群的判定 1cad2efa3f42806f994edf8fc55ae209.md,1
chapter1,定理1子群充要条件,theorem,md,近世代数/近世代数/无标题/定理1子群充要条件 1bdd2efa3f428096a849dfb1aa61075c.md,1
chapter1,定理2,theorem,md,近世代数/近世代数/无标题/定理2 1c3d2efa3f42808d86d9d910407f5566.md,3
chapter1,定理2不变子群判定方式2,theorem,md,近世代数/近世代数/无标题/定理2不变子群判定方式2 1cad2efa3f42808ca4e0c22a6b95ca07.md,1
chapter1,定理2非空子集充要条件,theorem,md,近世代数/近世代数/无标题/定理2非空子集充要条件 1bdd2efa3f4280eca5fdd0e948316100.md,1
chapter1,定理3子群充要条件 非空有限子群,theorem,md,近世代数/近世代数/无标题/定理3子群充要条件 非空有限子群 1bdd2efa3f4280bfbf36f4060b3612ad.md,1
chapter1,对称群,note,md,近世代数/近世代数/无标题/对称群 1bad2efa3f42809caaf1ff2a6c16b526.md,2
chapter1,封闭 二元运算,note,md,近世代数/近世代数/无标题/封闭 二元运算 1a1d2efa3f4280c1abc9d4dc388cc80c.md,1
chapter1,左陪集,note,md,近世代数/近世代数/无标题/左陪集 1c3d2efa3f4280bebcadc5fc4efa6e1e.md,1
chapter1,左陪集定义,definition,md,近世代数/近世代数/无标题/左陪集定义 1d2d2efa3f4280fdbd2fd7e28903354a.md,1
chapter1,幺半群的定义 定义1.2 定义1.3,definition,md,近世代数/近世代数/无标题/幺半群的定义 定义1 2 定义1 3 1cad2efa3f42800ea08fdf383be45a9a.md,1
chapter1,广义结合律与数学归纳法,note,md,近世代数/近世代数/无标题/广义结合律与数学归纳法 1cad2efa3f42803e8230cae3ea9f46af.md,1
chapter1,引理1.1幺半群的逆元构成群,lemma,md,近世代数/近世代数/无标题/引理1 1幺半群的逆元构成群 1edd2efa3f4280479e2be2b835b83ca6.md,1
chapter1,引理1.4正规子群,lemma,md,近世代数/近世代数/无标题/引理1 4正规子群 1d8d2efa3f4280599a3fd672105fee0c.md,1
chapter1,拉格朗日定理,theorem,md,近世代数/近世代数/无标题/拉格朗日定理 1cad2efa3f4280aab6f1ee857a182752.md,1
chapter1,拉格朗日定理,theorem,md,近世代数/近世代数/无标题/拉格朗日定理 1d2d2efa3f42801fa5fdf15cafbdcb4e.md,2
chapter1,指数是2的子群一定是不变的,note,md,近世代数/近世代数/无标题/指数是2的子群一定是不变的 1cad2efa3f4280a49122f16b85f73100.md,1
chapter1,无标题,note,md,近世代数/近世代数/无标题/无标题 1b7d2efa3f42802dbdaecc7643526bbe.md,0
chapter1,无标题,note,md,近世代数/近世代数/无标题/无标题 1bad2efa3f42802aa86ec37cd6544448.md,0
chapter1,无标题,note,md,近世代数/近世代数/无标题/无标题 1bad2efa3f42803389efdacc7eedffb9.md,0
chapter1,无标题,note,md,近世代数/近世代数/无标题/无标题 1ead2efa3f4280d8976efa8f012a8275.md,0
chapter1,映射与集合基础知识,note,md,近世代数/近世代数/无标题/映射与集合基础知识 1aed2efa3f42800c8261da73ac826269.md,0
chapter1,映射的核与像,note,md,近世代数/近世代数/无标题/映射的核与像 1cbd2efa3f428060a500d68691e7bbdf.md,1
chapter1,有限群每一个元素都有元,note,md,近世代数/近世代数/无标题/有限群每一个元素都有元 1b1d2efa3f428077b99af9bef5e16a15.md,1
chapter1,构造同态同构,note,md,近世代数/近世代数/无标题/构造同态同构 1b5d2efa3f42802ba396ef3b35139369.md,1
chapter1,正规子群定义,definition,md,近世代数/近世代数/无标题/正规子群定义 1cad2efa3f4280be908adb4819bd31ae.md,2
chapter1,正规子群的意义就是为了让看看陪集是不是群,note,md,近世代数/近世代数/无标题/正规子群的意义就是为了让看看陪集是不是群 1cad2efa3f42800b9c25e9e1bc63b83c.md,3
chapter1,每一个分类都决定了A的一个等价关系,note,md,近世代数/近世代数/无标题/每一个分类都决定了A的一个等价关系 1a7d2efa3f4280eeabf8d5f851e06cc2.md,1
chapter1,消去律成立与证明G是一个群 重点,proof,md,近世代数/近世代数/无标题/消去律成立与证明G是一个群 重点 1aed2efa3f42802bbde2ff09c5d7753f.md,2
chapter1,看maki的习题课是最好的，构建关系,note,md,近世代数/近世代数/无标题/看maki的习题课是最好的，构建关系 1c3d2efa3f42800db761fc4973d5b01e.md,0
chapter1,等价关系,note,md,近世代数/近世代数/无标题/等价关系 1a7d2efa3f4280a0ae90db267cbf3328.md,1
chapter1,结合律 交换律 分配律,note,md,近世代数/近世代数/无标题/结合律 交换律 分配律 1a1d2efa3f428005bcfac88aa2af2b6e.md,2
chapter1,置换与置换群,note,md,近世代数/近世代数/无标题/置换与置换群 1bad2efa3f4280ed8022e05463b6b6f8.md,1
chapter1,置换书写方式,note,md,近世代数/近世代数/无标题/置换书写方式 1bcd2efa3f4280e08df6cc729ec19b71.md,2
chapter1,置换群,note,md,近世代数/近世代数/无标题/置换群 1bad2efa3f4280228c17c29195a2c525.md,0
chapter1,群,note,md,近世代数/近世代数/无标题/群 1a0d2efa3f4280e5ab23eef494b59a4c.md,0
chapter1,群同构第一定理1.2,theorem,md,近世代数/近世代数/无标题/群同构第一定理1 2 1d8d2efa3f4280faaa25d06a12ca3ddc.md,2
